onset	duration	sample	value
2576,492	2	644123	202
2578,492	1,024	644623	203
2579,516	4	644879	3
2583,516	4	645879	200
2587,516	4	646879	201
2591,516	2,016	647879	202
2593,532	1,008	648383	203
2594,54	4	648635	3
2598,54	4,016	649635	200
26,044	1,008	6511	203
260,428	4	65107	201
2602,556	4	650639	201
2606,556	2	651639	202
2608,556	1,008	652139	203
2609,564	4	652391	4
2613,564	4	653391	200
2617,564	4	654391	201
2621,564	2,016	655391	202
2623,58	1,008	655895	203
2624,588	4,016	656147	3
2628,604	4	657151	200
2632,604	4	658151	201
2636,604	2,016	659151	202
2638,62	1,008	659655	203
2639,628	4	659907	3
264,428	1,984	66107	202
2643,628	4	660907	200
2647,628	4,016	661907	201
2651,644	2	662911	202
2653,644	1,008	663411	203
2654,652	4,016	663663	4
2658,668	4	664667	200
266,412	1,024	66603	203
2662,668	4	665667	201
2666,668	2	666667	202
2668,668	1,008	667167	203
2669,676	4,016	667419	3
267,436	4,016	66859	2
2673,692	4	668423	200
2677,692	4	669423	201
2681,692	2,016	670423	202
2683,708	0,992	670927	203
2684,7	4	671175	4
2688,7	4,016	672175	200
2692,716	4	673179	201
2696,716	2	674179	202
2698,716	1,008	674679	203
2699,724	4,016	674931	3
27,052	4	6763	2
2703,74	4	675935	200
2707,74	4	676935	201
271,452	4	67863	200
2711,74	2	677935	202
2713,74	1,008	678435	203
2714,748	4,016	678687	4
2718,764	4	679691	200
2722,764	3,984	680691	201
2726,748	2,016	681687	202
2728,764	1,008	682191	203
2729,772	4	682443	4
2733,772	4,016	683443	200
2737,788	3,984	684447	201
2741,772	2,016	685443	202
2743,788	1,008	685947	203
2744,796	4	686199	3
2748,796	4,016	687199	200
275,452	4	68863	201
2752,812	4	688203	201
2756,812	2	689203	202
2758,812	1,008	689703	203
2759,82	4	689955	4
2763,82	4,016	690955	200
2767,836	4,016	691959	201
2771,852	1,984	692963	202
2773,836	1,008	693459	203
2774,844	4	693711	4
2778,844	9,024	694711	200
2787,868	4,016	696967	201
279,452	2	69863	202
2791,884	2	697971	202
2793,884	1,008	698471	203
2794,892	4	698723	3
2798,892	4,016	699723	200
2802,908	4	700727	201
2806,908	2	701727	202
2808,908	1,008	702227	203
2809,916	4,016	702479	3
281,452	1,008	70363	203
2813,932	4	703483	200
2817,932	4	704483	201
282,46	4	70615	1
2821,932	2	705483	202
2823,932	1,024	705983	203
2824,956	4	706239	3
2828,956	4	707239	200
2832,956	4,016	708239	201
2836,972	1,984	709243	202
2838,956	1,024	709739	203
2839,98	4	709995	4
2843,98	4,016	710995	200
2847,996	4	711999	201
2851,996	2	712999	202
2853,996	1,008	713499	203
2855,004	4,016	713751	4
2859,02	3,984	714755	200
286,46	4,016	71615	200
2863,004	4,016	715751	201
2867,02	2	716755	202
2869,02	1,008	717255	203
2870,028	4	717507	4
2874,028	4,016	718507	200
2878,044	3,984	719511	201
2882,028	2,016	720507	202
